gender,NationalITy,PlaceofBirth,StageID,StudentID,Topic,raisedhands,VisitedResources,viewingannouncements,Discussionoftests,ParentAnsweringSurvey,Feedback,StudentAbsenceDays,learnvernfeedback
M,KW,KuwaIT,lowerlevel,G-04,IT,15,16,2,20,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,IT,20,20,3,25,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,IT,10,7,0,30,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,IT,30,25,5,35,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,IT,40,50,12,50,No,Bad,Above-7,M
F,KW,KuwaIT,lowerlevel,G-04,IT,42,30,13,70,Yes,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-07,Math,35,12,0,17,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,Math,50,10,15,22,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,Math,12,21,16,50,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,IT,70,80,25,70,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,Math,50,88,30,80,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,Math,19,6,19,12,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,IT,5,1,0,11,No,Bad,Above-7,L
M,lebanon,lebanon,MiddleSchool,G-08,Math,20,14,12,19,No,Bad,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-08,Math,62,70,44,60,No,Bad,Above-7,H
F,KW,KuwaIT,MiddleSchool,G-06,IT,30,40,22,66,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,IT,36,30,20,80,No,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-07,Math,55,13,35,90,No,Bad,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,IT,69,15,36,96,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,IT,70,50,40,99,Yes,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,IT,60,60,33,90,No,Bad,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,IT,10,12,4,80,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,IT,15,21,2,90,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,IT,2,0,2,50,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,IT,0,2,3,70,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,IT,8,7,30,40,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,IT,19,19,25,40,Yes,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,Arabic,25,15,12,33,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,Science,75,85,52,43,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,Arabic,30,90,33,35,No,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,Arabic,35,80,50,70,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,IT,4,5,40,16,Yes,Good,Above-7,L
F,KW,KuwaIT,lowerlevel,G-07,IT,2,19,10,50,Yes,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-05,English,8,22,9,40,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,Science,12,11,8,40,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,English,10,12,17,30,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,Science,8,6,4,22,Yes,Good,Above-7,L
F,Egypt,Egypt,MiddleSchool,G-07,IT,45,54,26,90,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-06,IT,0,0,0,4,No,Bad,Above-7,L
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,Science,50,90,37,70,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,IT,14,13,3,70,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,IT,19,20,16,50,No,Good,Under-7,M
M,KW,KuwaIT,HighSchool,G-09,IT,10,12,7,33,Yes,Good,Above-7,L
F,KW,KuwaIT,HighSchool,G-09,IT,30,35,28,90,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-09,IT,33,33,30,90,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,Quran,20,12,15,70,No,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-05,English,7,10,1,30,No,Bad,Above-7,L
F,KW,KuwaIT,HighSchool,G-12,English,70,4,39,90,Yes,Good,Under-7,H
F,KW,KuwaIT,HighSchool,G-12,English,13,80,40,88,Yes,Good,Under-7,H
F,KW,KuwaIT,HighSchool,G-12,English,29,39,50,77,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-12,English,20,14,12,70,No,Bad,Above-7,L
M,KW,KuwaIT,HighSchool,G-12,English,39,15,16,50,No,Good,Above-7,L
F,KW,KuwaIT,HighSchool,G-12,English,55,90,16,40,No,Bad,Under-7,M
F,KW,KuwaIT,HighSchool,G-11,Science,49,70,19,75,Yes,Good,Under-7,H
M,KW,KuwaIT,HighSchool,G-12,English,12,50,8,30,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,Math,16,14,6,20,Yes,Good,Above-7,L
M,USA,USA,MiddleSchool,G-08,Math,19,5,4,1,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,Math,5,2,6,5,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,Math,28,60,19,50,Yes,Good,Under-7,M
F,USA,USA,MiddleSchool,G-07,Math,27,22,22,40,No,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-05,English,21,10,28,20,No,Good,Above-7,L
M,KW,KuwaIT,HighSchool,G-10,IT,50,70,32,40,Yes,Good,Under-7,M
M,venzuela,venzuela,HighSchool,G-10,IT,80,90,70,80,Yes,Good,Under-7,H
M,KW,KuwaIT,HighSchool,G-10,IT,17,13,16,12,Yes,Bad,Under-7,M
M,KW,KuwaIT,HighSchool,G-10,IT,0,5,7,2,No,Bad,Above-7,L
M,KW,KuwaIT,HighSchool,G-12,English,13,5,18,19,No,Bad,Above-7,L
F,KW,KuwaIT,HighSchool,G-12,English,25,10,19,30,No,Bad,Above-7,M
F,USA,USA,HighSchool,G-12,English,65,75,23,80,Yes,Good,Under-7,H
F,USA,USA,HighSchool,G-12,IT,70,69,35,30,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,IT,39,40,11,33,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,IT,22,30,10,12,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,IT,29,22,9,20,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,Math,11,2,2,8,No,Bad,Under-7,L
F,KW,KuwaIT,MiddleSchool,G-07,English,19,30,26,19,Yes,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-07,IT,12,0,6,13,No,Bad,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-07,Quran,50,90,29,60,Yes,Good,Under-7,M
M,Iran,Iran,HighSchool,G-09,IT,15,70,37,44,Yes,Good,Under-7,M
M,KW,KuwaIT,HighSchool,G-09,IT,20,80,33,33,Yes,Good,Under-7,M
M,KW,KuwaIT,HighSchool,G-11,Quran,13,3,11,9,No,Bad,Above-7,L
F,lebanon,lebanon,MiddleSchool,G-07,Math,80,90,49,55,Yes,Bad,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,Math,8,15,10,40,Yes,Bad,Under-7,L
M,KW,KuwaIT,lowerlevel,G-02,IT,8,25,1,70,No,Bad,Above-7,L
